,0,1,2
0,-41.87979405727428,77.35151910262678,0.625
1,-42.515701424533205,78.61872812212998,0.25
2,-40.43209470566195,81.70718738951068,0.25
3,-40.80078516257341,75.19495221562585,0.25
4,-40.737042064056595,75.06940334343071,0.25
5,-40.67285698608242,74.9498780215442,0.125
6,-38.74441343454923,72.1409234581158,0.25
7,-39.11205153110204,71.821545313235,0.125
8,-39.00188632454103,71.62740465440993,0.125
9,-40.450844756090525,74.474437720959,0.375
10,-41.38082829254361,76.33307467351345,0.25
11,-38.3953079230165,70.42002502433648,0.375
12,-38.131124713542505,69.87562402614581,0.375
13,-38.73053640955669,71.04885394331033,0.25
14,-38.86974930155876,71.3212621958803,0.25
15,-39.04472291896825,71.6808464595916,0.375
16,-39.067320935136955,71.72345514417505,0.125
17,-39.571470528633526,72.79504482301454,0.375
18,-39.108700019142816,72.74385361952838,0.125
19,-39.108700019142816,72.74385361952838,0.0
20,-39.30521674846716,72.21661647891281,0.125
21,-39.42561202285179,72.44314121116722,0.375
22,-39.44732359683802,72.48582819904362,0.375
23,-38.442734202626475,70.57908734823675,0.125
24,-39.44411635967227,72.47827952760315,0.375
25,-39.939539204955466,73.46034755853029,0.25
26,-38.52011493775555,70.81236552643401,0.25
27,-36.422484941912096,67.03977112781791,0.25
28,-36.593360000893185,66.80307414892879,0.25
29,-36.37279977487754,66.74648167852953,0.125
30,-36.37279977487754,66.74648167852953,0.0
31,-36.460517772846245,66.56640209963253,0.125
32,-36.62641316657812,66.86491281918114,0.25
33,-36.62641316657812,66.86491281918114,0.0
34,-36.1548462696677,66.42563038591979,0.125
35,-37.35140416359898,68.2852313725346,0.25
36,-36.555978206086905,66.69812460234638,0.25
37,-36.02613467965465,65.6468009922495,0.25
38,-37.92011091604198,69.41534400875614,0.5
39,-37.92011091604198,69.41534400875614,0.0
40,-34.54106154995237,62.84033487636894,0.375
41,-34.68934411517522,62.99819803176301,0.125
42,-35.56170054927521,64.7055037455146,0.25
43,-35.326189009794106,64.2425376165411,0.125
44,-36.17826803491344,65.92953882906377,0.375
45,-33.92205514511229,61.44907239139284,0.25
46,-35.68582234096256,64.94889532384535,0.125
47,-33.925079694813434,61.439587148993695,0.25
48,-34.02692940855411,61.63933181488257,0.125
49,-34.652452232439025,62.88055493622161,0.25
50,-32.52510493435207,59.09648334767481,0.375
51,-32.52510493435207,59.09648334767481,0.0
52,-32.52510493435207,59.09648334767481,0.0
53,-32.894042763858955,59.3888616754974,0.125
54,-32.76961686671678,59.12213920490318,0.75
55,-31.698593016207823,56.99103066799208,0.25
56,-31.262078829528708,56.13311007714426,0.25
57,-32.114574985661214,57.81833781303015,0.25
58,-31.842266176024722,57.28823365119644,0.125
59,-32.50024392174785,58.58180298228663,0.25
60,-33.28109173107789,60.13526240967225,0.375
61,-31.01469784987226,55.626000408593974,0.375
62,-31.01469784987226,55.626000408593974,0.0
63,-30.964713155623393,55.53886402949282,0.375
64,-30.74580701496742,55.15011644276826,0.25
65,-32.46825324531186,58.51065542725435,0.625
66,-32.43656994698466,58.447347694741225,0.125
67,-30.199494700217834,54.02391169559362,0.125
68,-30.436283302246732,54.47917488523781,0.125
